sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
44,-1919.121866,-32.89,9,8,8,55.0
45,-1919.099171,-0.21,9,8,8,55.0
46,-1919.102925,-5.61,9,9,8,55.5
71,-1919.093492,7.97,8,7,6,55.5
72,-1919.120169,-30.45,8,7,6,55.5
Total,,,43,39,36,55.3
