sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
6,-1417.386317,52.13,14,14,14,72.0
7,-1417.395639,38.71,15,14,14,72.0
33,-1417.395723,38.59,17,16,16,72.0
34,-1417.406694,22.79,16,15,15,72.0
87,-1417.423973,-2.09,15,12,12,72.0
Total,,,77,71,71,72.0
