sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
44,-1791.373957,-100.28,7,7,7,125.0
45,-1791.373663,-99.85,7,6,6,126.0
46,-1791.378813,-107.27,7,6,6,126.0
71,-1791.402794,-141.8,7,6,6,126.0
72,-1791.377178,-104.91,6,5,4,126.0
Total,,,34,30,29,125.8
