planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
KELT-23,14,1,pre_baseline,pre,exponential,2.88818,-1104.68889,Hyperballistic,72,transit_01_pre_msd.png,ok
KELT-23,14,1,in_transit_raw,raw,exponential,0.80901,0.979,Subdiffusive,65,transit_01_raw_msd.png,ok
KELT-23,14,1,in_transit_model,model,exponential,0.67177,0.98685,Subdiffusive,65,transit_01_model_msd.png,ok
KELT-23,14,1,in_transit_resid,resid,exponential,3.21002,-667.41765,Hyperballistic,65,transit_01_resid_msd.png,ok
KELT-23,14,1,post_baseline,post,exponential,3.06389,-1279.91512,Hyperballistic,70,transit_01_post_msd.png,ok
KELT-23,14,2,pre_baseline,pre,exponential,2.89277,-2750.26386,Hyperballistic,72,transit_02_pre_msd.png,ok
KELT-23,14,2,in_transit_raw,raw,exponential,1.20417,-0.18639,Superdiffusive,71,transit_02_raw_msd.png,ok
KELT-23,14,2,in_transit_model,model,exponential,1.16543,0.03316,Superdiffusive,71,transit_02_model_msd.png,ok
KELT-23,14,2,in_transit_resid,resid,exponential,3.0537,-756.50842,Hyperballistic,71,transit_02_resid_msd.png,ok
KELT-23,14,2,post_baseline,post,exponential,2.88408,-2907.42192,Hyperballistic,72,transit_02_post_msd.png,ok
KELT-23,14,3,pre_baseline,pre,exponential,3.32244,-1666.97295,Hyperballistic,62,transit_03_pre_msd.png,ok
KELT-23,14,3,in_transit_raw,raw,exponential,1.20863,-0.14569,Superdiffusive,69,transit_03_raw_msd.png,ok
KELT-23,14,3,in_transit_model,model,exponential,0.63216,0.98029,Subdiffusive,69,transit_03_model_msd.png,ok
KELT-23,14,3,in_transit_resid,resid,exponential,3.16106,-655.13021,Hyperballistic,69,transit_03_resid_msd.png,ok
KELT-23,14,3,post_baseline,post,exponential,3.05961,-1029.78511,Hyperballistic,70,transit_03_post_msd.png,ok
KELT-23,14,4,pre_baseline,pre,exponential,3.05211,-1026.85424,Hyperballistic,71,transit_04_pre_msd.png,ok
KELT-23,14,4,in_transit_raw,raw,exponential,1.15642,-0.09684,Superdiffusive,72,transit_04_raw_msd.png,ok
KELT-23,14,4,in_transit_model,model,exponential,0.20529,0.9597,Subdiffusive,72,transit_04_model_msd.png,ok
KELT-23,14,4,in_transit_resid,resid,exponential,2.89227,-1815.47755,Hyperballistic,72,transit_04_resid_msd.png,ok
KELT-23,14,4,post_baseline,post,exponential,3.05201,-1593.65435,Hyperballistic,71,transit_04_post_msd.png,ok
KELT-23,14,5,pre_baseline,pre,exponential,3.14868,-638.94601,Hyperballistic,69,transit_05_pre_msd.png,ok
KELT-23,14,5,in_transit_raw,raw,exponential,0.68618,0.97361,Subdiffusive,70,transit_05_raw_msd.png,ok
KELT-23,14,5,in_transit_model,model,exponential,0.81638,0.98834,Subdiffusive,70,transit_05_model_msd.png,ok
KELT-23,14,5,in_transit_resid,resid,exponential,3.0638,-2076.73258,Hyperballistic,70,transit_05_resid_msd.png,ok
KELT-23,14,5,post_baseline,post,exponential,3.18786,-2733.82191,Hyperballistic,69,transit_05_post_msd.png,ok
KELT-23,14,6,pre_baseline,pre,exponential,2.91673,-853.20877,Hyperballistic,37,transit_06_pre_msd.png,ok
