sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
26,-1357.864753,62.36,9,8,8,69.0
40,-1357.883876,34.82,10,10,10,70.0
41,-1357.944324,-52.22,10,10,10,70.0
53,-1357.940572,-46.82,9,5,5,70.0
54,-1357.918337,-14.8,10,7,7,70.0
55,-1357.929484,-30.85,10,9,9,70.0
59,-1357.948284,-57.92,9,8,8,70.0
74,-1357.957795,-71.62,10,8,8,70.0
75,-1357.89677,16.26,10,9,7,70.0
80,-1357.901503,9.44,10,8,6,70.0
82,-1357.89514,18.6,10,10,9,70.0
Total,,,107,92,87,69.9
