sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
23,542.436136,-13.72,8,6,6,138.0
48,542.359085,-124.67,8,7,6,139.0
50,542.363566,-118.22,9,6,6,139.0
75,542.337571,-155.65,9,7,7,139.0
77,542.446733,1.54,10,7,7,139.0
Total,,,44,33,32,138.8
