# planet:           CoRoT-01
# kind:             HJ
# sector:           33
# transit_num:      10
# t_mid_btjd:       2219.02877413
# T14_days:         0.114746
# T14_hours:        2.7539
# depth_frac:       0.016990
# snr:              2.28
# method:           SCAN+BLEND(SNR=2.3)
# n_points_total:   248
# n_points_real:    238
# n_points_filled:  10
# interpolated:     1=NN-filled from nearest observed point, 0=observed
# window_lo_btjd:   2218.85665538
# window_hi_btjd:   2219.20089289
time_btjd,time_min_from_mid,flux,interpolated
2218.8574338512917,-246.73000733411754,0.9990404414108879,0
2218.8588227401806,-244.73000733414665,1.0014013597114775,0
2218.8602116290695,-242.73000733417575,0.997255931882722,0
2218.8616005179583,-240.73000733420486,0.9985231485089386,0
2218.862989406847,-238.73000733423396,1.0043727161559028,0
2218.864378295736,-236.73000733426306,0.992949300069255,0
2218.865767184625,-234.73000733429217,1.0031830818508587,0
2218.867156073514,-232.73000733432127,0.9956234511845183,0
2218.8685449624027,-230.73000733435038,1.0065164504136892,0
2218.8699338512915,-228.73000733437948,1.005033908003859,0
2218.8713227401804,-226.73000733440858,1.0015187784640303,0
2218.8727116290693,-224.7300073344377,0.991679063771855,0
2218.874100517958,-222.7300073344668,0.9885645052286187,0
2218.875489406847,-220.7300073344959,0.9910672319336267,0
2218.876878295736,-218.730007334525,0.9873422352465544,0
2218.8782671846247,-216.7300073345541,0.9993805028426139,0
2218.8796560735136,-214.7300073345832,0.9981996952687211,0
2218.8810449624025,-212.7300073346123,0.992805401123248,0
2218.8824338512914,-210.7300073346414,1.0043478619392399,0
2218.88382274018,-208.73000733467052,1.0048711941835557,0
2218.885211629069,-206.73000733469962,1.0005257712095026,0
2218.886600517958,-204.73000733472873,1.010986957459453,0
2218.887989406847,-202.73000733475783,0.9923177242271355,0
2218.8893782957357,-200.73000733478693,1.0150251869611993,0
2218.8907671846246,-198.73000733481604,1.0031169975084229,0
2218.8921560735134,-196.73000733484514,0.9986727383737143,0
2218.8935449624023,-194.73000733487424,1.003791661735505,0
2218.894933851291,-192.73000733490335,1.0040439204205147,0
2218.89632274018,-190.73000733493245,1.0016114591411196,0
2218.897711629069,-188.73000733496156,1.0061171569702896,0
2218.899100517958,-186.73000733499066,1.0089756241689372,0
2218.9004894068466,-184.73000733501976,0.9986442837798711,0
2218.9018782957355,-182.73000733504887,1.0063619826185404,0
2218.9032671846244,-180.73000733507797,1.0084678548453354,0
2218.9046560735133,-178.73000733510708,0.9940605390647311,0
2218.906044962402,-176.73000733513618,1.0048828083034917,0
2218.907433851291,-174.73000733516528,0.9910995191870487,0
2218.90882274018,-172.7300073351944,1.0189741038806375,0
2218.9102116290687,-170.7300073352235,0.9953802515130585,0
2218.9116005179576,-168.7300073352526,1.0055402836330687,0
2218.9129894068465,-166.7300073352817,1.0085949133174352,0
2218.9143782957353,-164.7300073353108,0.9954376252655424,0
2218.915767184624,-162.7300073353399,0.9912242548351614,0
2218.917156073513,-160.730007335369,0.9994449612082587,0
2218.918544962402,-158.7300073353981,1.0110784767245486,0
2218.919933851291,-156.73000733542722,1.0063789392336469,0
2218.9213227401797,-154.73000733545632,0.9885324502575954,0
2218.9227116290685,-152.73000733548542,1.0031690287657362,0
2218.9241005179574,-150.73000733551453,1.0039064092404726,0
2218.9254894068463,-148.73000733554363,0.9993935106569423,0
2218.926878295735,-146.73000733557274,1.0039527495790173,0
2218.928267184624,-144.73000733560184,0.9958093932446936,0
2218.929656073513,-142.73000733563094,1.0054908074821414,0
2218.9310449624018,-140.73000733566005,0.9887550929367684,0
2218.9324338512906,-138.73000733568915,1.0037783054975784,0
2218.9338227401795,-136.73000733571826,0.9841994543918736,0
2218.9352116290684,-134.73000733574736,1.0143056922311642,0
2218.9366005179572,-132.73000733577646,0.995658525826725,0
2218.937989406846,-130.73000733580557,1.0060585056646127,0
2218.939378295735,-128.73000733583467,0.9966991509729903,0
2218.940767184624,-126.73000733586377,1.0018875267719982,0
2218.9421560735127,-124.73000733589288,1.0137677261957287,0
2218.9435449624016,-122.73000733592198,0.9912030009956785,0
2218.9449338512904,-120.73000733595109,1.0031140939784389,0
2218.9463227401793,-118.73000733598019,0.9980735659262162,0
2218.947711629068,-116.7300073360093,0.9935276832420676,0
2218.949100517957,-114.7300073360384,1.0165698649126869,0
2218.950489406846,-112.7300073360675,0.9947126718991374,0
2218.951878295735,-110.7300073360966,0.9987097874163101,0
2218.9532671846237,-108.73000733612571,1.006932584330996,0
2218.9546560735125,-106.73000733615481,1.007762761624021,0
2218.9560449624014,-104.73000733618392,0.9897691217483803,0
2218.9574338512903,-102.73000733621302,0.9927949484153056,0
2218.958822740179,-100.73000733624212,1.0084126877756394,0
2218.960211629068,-98.73000733627123,1.0091861881633768,0
2218.961600517957,-96.73000733630033,1.0126379046083551,0
2218.9629894068457,-94.73000733632944,0.9910104388871397,0
2218.9643782957346,-92.73000733635854,0.9923339839950459,0
2218.9657671846235,-90.73000733638764,1.0031471942202563,0
2218.9671560735123,-88.73000733641675,1.0032339516961783,0
2218.968544962401,-86.73000733644585,0.995604636310222,0
2218.96993385129,-84.73000733647496,1.0043249821229658,0
2218.971322740179,-82.73000733650406,1.0117158596266362,0
2218.972711629068,-80.73000733653316,1.0069597613716461,0
2218.9741005179567,-78.73000733656227,1.0031452198198674,0
2218.9754894068456,-76.73000733659137,0.9991800431325186,0
2218.9768782957344,-74.73000733662047,1.0082327850578308,0
2218.9782671846233,-72.73000733664958,0.9913804647483005,0
2218.979656073512,-70.73000733667868,0.9949758478568871,0
2218.981044962401,-68.73000733670779,1.000133910802862,0
2218.98243385129,-66.73000733673689,0.9960869707111639,0
2218.9838227401788,-64.730007336766,0.9896447345238658,0
2218.9852116290676,-62.7300073367951,0.9821913730549398,0
2218.9866005179565,-60.7300073368242,0.9821913730549398,1
2218.9879894068454,-58.730007336853305,0.9839632231923755,0
2218.9893782957342,-56.73000733688241,0.9839632231923755,1
2218.990767184623,-54.73000733691151,0.9836389569637625,0
2218.992156073512,-52.730007336940616,0.9775820772759407,0
2218.993544962401,-50.73000733696972,0.9775820772759407,1
2218.9949338512897,-48.730007336998824,0.9894227886918889,0
2218.9963227401786,-46.73000733702793,0.9768664152054846,0
2218.9977116290675,-44.73000733705703,0.9833314150678573,0
2218.9991005179563,-42.730007337086136,0.9893628598330192,0
2219.000489406845,-40.73000733711524,0.9893628598330192,1
2219.001878295734,-38.73000733714434,0.9810346067093145,0
2219.003267184623,-36.73000733717345,0.9807293876373965,0
2219.004656073512,-34.73000733720255,0.9783896070350906,0
