sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
23,-2580.724029,49.24,7,6,6,69.5
49,-2580.699177,85.03,7,6,6,70.0
50,-2580.71908,56.37,8,4,4,70.0
76,-2580.693611,93.04,8,4,4,70.0
77,-2580.719172,56.24,8,2,2,70.0
Total,,,38,22,22,69.9
