sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
40,-1624.8659,0.0,0,0,0,0.0
41,-1624.8659,0.0,0,0,0,0.0
53,-1624.8659,0.0,0,0,0,0.0
54,-1624.8659,0.0,0,0,0,0.0
74,-1624.8659,0.0,0,0,0,0.0
75,-1624.8659,0.0,0,0,0,0.0
Total,,,0,0,0,0.0
