sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
18,1809.078308,-13.29,1,1,1,94.0
19,1809.077025,-15.13,1,1,1,94.0
25,1809.074298,-19.06,1,1,1,89.0
52,1809.079526,-11.53,2,2,2,94.5
59,1809.099311,16.96,2,2,2,94.0
73,1809.097757,14.72,1,1,1,95.0
79,1809.094194,9.59,1,1,1,95.0
86,1809.087534,0.0,1,0,0,0.0
Total,,,10,9,9,81.9
