System,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,Period,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Discovery_reference,Recent_reference,Rp_Rs,a_Rs,host_star,has_pdcsap,n_sectors,sector_list,pl_name,hostname,tic_id,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_orbeccen,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,ttv_flag,st_teff,st_logg,st_rad,discoverymethod,nea_match_type
HD_035843c,5666,61,61,-0.27,0.04,0.04,0.94,0.06,0.06,0.897,0.019,0.019,4.47,0.03,0.03,1.3,0.11,0.11,46.962,0.153,0.07,0.064,0.25,0.01,0.01,0.0356,0.005,0.0047,0.227,0.007,0.006,-1.0,-1.0,-1,-1.0,-1.0,-1,479.0,12.0,12.0,2025AJ....170..108H,2025AJ....170..108H,0.2530657748049052,59.93088880176215,HD 035843c,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",HD 35843 c,HD 35843,TIC 7422496,89.58,0.17,-0.09,0.026,0.0006,-0.0006,,,,0.153,2459221.7562,0.002,-0.0016,5.8,0.1,-0.08,0.47,0.15,-0.21,,0.0,5666.0,4.47,0.897,Transit,planet_name
TOI-6002,3241,80,60,-0.18,0.12,0.12,0.2409,0.0066,0.0065,0.2105,0.0049,0.0048,4.998,0.025,0.025,15.0,1.3,1.2,10.905,0.15,0.42,0.11,0.05722,0.00044,0.00044,-1.0,-1.0,-1.0,0.147,0.02,0.017,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,2024A+A...690A.263G,2024A+A...690A.263G,0.6983372921615202,58.451936819789786,TOI-6002,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",TOI-6002 b,TOI-6002,TIC 102734241,89.68,0.21,-0.21,0.0622,0.008,-0.007,50.6,1.4,-1.3,0.15,2458692.7639,0.0024,-0.0028,1.657,0.023,-0.021,0.26,0.18,-0.17,0.387,0.0,3229.0,4.989,0.2432,Transit,host_single
Kepler-424,5460,81,81,0.44,0.14,0.14,1.01,0.054,0.054,0.94,0.056,0.056,4.5,0.05,0.05,1.23,0.21,0.21,3.312,0.0,-1.0,-1.0,0.044,0.005,0.004,1.03,0.13,0.13,0.89,0.08,0.06,-1.0,-1.0,-1,1.46,0.19,0.19,-1.0,-1.0,-1.0,2014ApJ...795..151E,2014ApJ...795..151E,0.946808510638298,10.065329017991273,Kepler-424,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
TOI-1268,5257,40,40,0.17,0.06,0.06,0.9,0.13,0.13,0.86,0.02,0.02,4.52,0.07,0.07,1.4,0.23,0.23,8.158,0.12,0.24,0.12,0.0688,0.0017,0.0019,0.29,0.04,0.04,0.747,0.018,0.018,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,2022ApJ...926L...7D,2022A+A...662A.107S,0.8686046511627907,17.202562321657812,TOI-1268,True,8,"[15, 21, 22, 41, 48, 49, 75, 76]",TOI-1268 b,TOI-1268,TIC 142394656,88.63,0.32,-0.3,0.091,0.001,-0.001,16.62,0.97,-0.84,0.105,2458711.7477,0.00021,-0.00021,4.001,0.025,-0.024,0.423,0.063,-0.081,0.8186,0.0,5300.0,4.55,0.92,Transit,host_single
Kepler-020f,5495,50,50,0.07,0.08,0.08,0.948,0.051,0.051,0.964,0.018,0.018,4.446,0.01,0.01,1.07,0.27,0.27,19.577,0.0,0.32,0.0,0.1396,0.0036,0.0035,0.0038,-1.0,-1.0,0.0895,0.0045,0.0079,-1.0,-1.0,-1,-1.0,-1.0,-1,705.0,16.0,16.0,2012Natur.482..195F,2016AJ....152..160B,0.0928423236514522,31.13949299926647,Kepler-020f,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Kepler-20 f,Kepler-20,TIC 158554588,88.788,0.43,-0.072,,,,,,,0.094,2454968.19883,0.00057,-0.00057,,,,,,,,0.0,5495.0,,0.9164,Transit,planet_name
Kepler-025b,6270,79,79,-0.04,0.1,0.1,1.165,0.027,0.029,1.316,0.016,0.015,4.278,0.03,0.03,0.53,0.07,0.07,6.239,0.0029,0.0023,0.0017,0.068,-1.0,-1,0.0275,0.0079,0.0073,0.2452,0.0034,0.0031,-1.0,-1.0,-1,1.75,0.51,0.46,-1.0,-1.0,-1.0,2012MNRAS.421.2342S,2019AJ....157..145M,0.186322188449848,11.11107748739296,Kepler-025b,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Kepler-25 b,Kepler-25,TIC 120960812,92.827,0.084,-0.083,0.01916,5.1e-05,-4.8e-05,,,,0.0029,2455703.42004,0.00012,-0.00011,,,,,,,,1.0,,,1.316,Transit,planet_name
Kepler-025c,6270,79,79,-0.04,0.1,0.1,1.165,0.027,0.029,1.316,0.016,0.015,4.278,0.03,0.03,0.53,0.07,0.07,12.72,0.061,0.0049,0.0041,0.11,-1.0,-1,0.0479,0.0041,0.0051,0.4654,0.0062,0.0058,-1.0,-1.0,-1,0.443,0.04,0.046,-1.0,-1.0,-1.0,2012MNRAS.421.2342S,2019AJ....157..145M,0.3536474164133738,17.973801817841554,Kepler-025c,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Kepler-25 c,Kepler-25,TIC 120960812,92.764,0.042,-0.039,0.03637,0.00012,-0.00012,,,,0.0061,2455711.15013,0.00014,-0.00014,,,,,,,,1.0,,,1.316,Transit,planet_name
Kepler-421,5308,50,50,-0.25,0.08,0.08,0.794,0.03,0.03,0.757,0.029,0.029,4.61,0.1,0.10,1.12,0.16,0.26,704.198,0.041,0.095,0.034,1.219,0.089,0.106,0.0,0.428,0.0,0.371,0.017,0.014,-1.0,-1.0,-1,-1.0,-1.0,-1,185.0,9.0,5.0,2014ApJ...795...25K,2024ApJS..271...16D,0.4900924702774108,346.26690010074094,Kepler-421,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Kepler-421 b,Kepler-421,TIC 164522394,89.965,0.024,-0.031,0.05008,0.00081,-0.00081,346.0,16.0,-29.0,0.041,2455325.7674,0.0012,-0.0012,15.79,0.12,-0.1,0.21,0.17,-0.14,,0.0,5308.0,4.61,0.757,Transit,host_single
TOI-2096b,3300,50,50,-0.03,0.2,0.2,0.231,0.012,0.012,0.235,0.011,0.011,5.05,0.05,0.05,16.9,2.3,2.3,3.119,0.15,0.27,0.12,0.025,0.001,0.001,-1.0,-1.0,-1.0,0.1109,0.0069,0.0064,-1.0,-1.0,-1,-1.0,-1.0,-1,445.0,13.0,13.0,2023A+A...672A..70P,2023A+A...672A..70P,0.4719148936170213,22.875747768161983,TOI-2096b,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",TOI-2096 b,TOI-2096,TIC 142748283,89.24,0.49,-0.49,0.0485,0.0018,-0.0017,,,,0.15,2459146.45853,0.00037,-0.00041,1.072,0.024,-0.021,0.3,0.23,-0.19,0.266,0.0,3300.0,5.05,0.235,Transit,planet_name
Kepler-012,5947,100,100,0.07,0.04,0.04,1.157,0.148,0.078,1.49,0.061,0.038,4.155,0.018,0.014,0.35,0.006,0.009,4.438,0.0,-1.0,-1.0,0.0555,0.0022,0.0013,0.43,0.053,0.044,1.706,0.069,0.039,3.66,0.33,0.34,0.081,0.008,0.008,1485.0,25.0,25.0,2011ApJS..197....9F,2012MNRAS.426.1291S,1.1449664429530202,8.009582289026916,Kepler-012,True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",Kepler-12 b,Kepler-12,TIC 405717754,88.796,0.088,-0.074,0.118867,8.5e-05,-9.4e-05,8.019,0.014,-0.013,,2455004.00915,1e-05,-1e-05,,,,0.168,0.01,-0.012,,0.0,5947.0,4.175,1.483,Transit,host_single
