planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
TOI-1431,57,1,pre_baseline,pre,exponential,2.63455,-79601.8937,Hyperballistic,75,transit_01_pre_msd.png,ok
TOI-1431,57,1,in_transit_raw,raw,exponential,2.68768,-4.61737,Hyperballistic,74,transit_01_raw_msd.png,ok
TOI-1431,57,1,in_transit_model,model,exponential,2.70068,-5.02391,Hyperballistic,74,transit_01_model_msd.png,ok
TOI-1431,57,1,in_transit_resid,resid,exponential,2.63389,-192945.68825,Hyperballistic,74,transit_01_resid_msd.png,ok
TOI-1431,57,1,post_baseline,post,exponential,2.63443,-203834.20888,Hyperballistic,75,transit_01_post_msd.png,ok
TOI-1431,57,2,pre_baseline,pre,exponential,2.63517,-88838.36054,Hyperballistic,75,transit_02_pre_msd.png,ok
TOI-1431,57,2,in_transit_raw,raw,exponential,2.68096,-4.4099,Hyperballistic,75,transit_02_raw_msd.png,ok
TOI-1431,57,2,in_transit_model,model,exponential,2.68731,-4.44476,Hyperballistic,75,transit_02_model_msd.png,ok
TOI-1431,57,2,in_transit_resid,resid,exponential,2.63378,-279729.94148,Hyperballistic,75,transit_02_resid_msd.png,ok
TOI-1431,57,2,post_baseline,post,exponential,2.63515,-99384.38391,Hyperballistic,74,transit_02_post_msd.png,ok
TOI-1431,57,3,pre_baseline,pre,exponential,2.63524,-107751.04724,Hyperballistic,74,transit_03_pre_msd.png,ok
TOI-1431,57,3,in_transit_raw,raw,exponential,2.66507,-4.06335,Hyperballistic,75,transit_03_raw_msd.png,ok
TOI-1431,57,3,in_transit_model,model,exponential,2.68737,-4.447,Hyperballistic,75,transit_03_model_msd.png,ok
TOI-1431,57,3,in_transit_resid,resid,exponential,2.63429,-176176.41865,Hyperballistic,75,transit_03_resid_msd.png,ok
TOI-1431,57,3,post_baseline,post,exponential,2.63446,-125629.8759,Hyperballistic,75,transit_03_post_msd.png,ok
TOI-1431,57,4,pre_baseline,pre,exponential,2.63512,-150266.98652,Hyperballistic,75,transit_04_pre_msd.png,ok
TOI-1431,57,4,in_transit_raw,raw,exponential,2.68813,-4.85487,Hyperballistic,75,transit_04_raw_msd.png,ok
TOI-1431,57,4,in_transit_model,model,exponential,2.68734,-4.44473,Hyperballistic,75,transit_04_model_msd.png,ok
TOI-1431,57,4,in_transit_resid,resid,exponential,2.63478,-168883.99884,Hyperballistic,75,transit_04_resid_msd.png,ok
TOI-1431,57,4,post_baseline,post,exponential,2.63554,-70244.50704,Hyperballistic,74,transit_04_post_msd.png,ok
TOI-1431,57,5,pre_baseline,pre,exponential,2.63406,-62733.69489,Hyperballistic,75,transit_05_pre_msd.png,ok
TOI-1431,57,5,in_transit_raw,raw,exponential,2.70615,-5.51306,Hyperballistic,74,transit_05_raw_msd.png,ok
TOI-1431,57,5,in_transit_model,model,exponential,2.70068,-5.0232,Hyperballistic,74,transit_05_model_msd.png,ok
TOI-1431,57,5,in_transit_resid,resid,exponential,2.63421,-322777.60472,Hyperballistic,74,transit_05_resid_msd.png,ok
TOI-1431,57,5,post_baseline,post,exponential,2.63411,-89360.6177,Hyperballistic,75,transit_05_post_msd.png,ok
TOI-1431,57,6,pre_baseline,pre,exponential,2.63505,-121032.43956,Hyperballistic,74,transit_06_pre_msd.png,ok
TOI-1431,57,6,in_transit_raw,raw,exponential,2.71183,-5.72974,Hyperballistic,75,transit_06_raw_msd.png,ok
TOI-1431,57,6,in_transit_model,model,exponential,2.68733,-4.44649,Hyperballistic,75,transit_06_model_msd.png,ok
TOI-1431,57,6,in_transit_resid,resid,exponential,2.63516,-49282.3799,Hyperballistic,75,transit_06_resid_msd.png,ok
TOI-1431,57,6,post_baseline,post,exponential,2.6358,-88027.61054,Hyperballistic,75,transit_06_post_msd.png,ok
TOI-1431,57,7,pre_baseline,pre,exponential,2.63588,-93561.99099,Hyperballistic,74,transit_07_pre_msd.png,ok
TOI-1431,57,7,in_transit_raw,raw,exponential,2.6775,-4.42503,Hyperballistic,75,transit_07_raw_msd.png,ok
TOI-1431,57,7,in_transit_model,model,exponential,2.68736,-4.44786,Hyperballistic,75,transit_07_model_msd.png,ok
TOI-1431,57,7,in_transit_resid,resid,exponential,2.6351,-153849.46668,Hyperballistic,75,transit_07_resid_msd.png,ok
TOI-1431,57,7,post_baseline,post,exponential,2.63566,-80437.60715,Hyperballistic,75,transit_07_post_msd.png,ok
TOI-1431,57,8,pre_baseline,pre,exponential,2.63507,-70741.37356,Hyperballistic,75,transit_08_pre_msd.png,ok
TOI-1431,57,8,in_transit_raw,raw,exponential,2.70852,-5.49672,Hyperballistic,74,transit_08_raw_msd.png,ok
TOI-1431,57,8,in_transit_model,model,exponential,2.70077,-5.02692,Hyperballistic,74,transit_08_model_msd.png,ok
TOI-1431,57,8,in_transit_resid,resid,exponential,2.63389,-64127.28818,Hyperballistic,74,transit_08_resid_msd.png,ok
TOI-1431,57,8,post_baseline,post,exponential,2.63505,-140706.871,Hyperballistic,75,transit_08_post_msd.png,ok
TOI-1431,57,9,pre_baseline,pre,exponential,2.63356,-70158.44899,Hyperballistic,75,transit_09_pre_msd.png,ok
TOI-1431,57,9,in_transit_raw,raw,exponential,2.68405,-4.43199,Hyperballistic,74,transit_09_raw_msd.png,ok
TOI-1431,57,9,in_transit_model,model,exponential,2.70078,-5.02804,Hyperballistic,74,transit_09_model_msd.png,ok
TOI-1431,57,9,in_transit_resid,resid,exponential,2.63471,-63858.91842,Hyperballistic,74,transit_09_resid_msd.png,ok
TOI-1431,57,9,post_baseline,post,exponential,2.63502,-160692.1998,Hyperballistic,75,transit_09_post_msd.png,ok
TOI-1431,57,10,pre_baseline,pre,exponential,2.63509,-152933.29037,Hyperballistic,75,transit_10_pre_msd.png,ok
TOI-1431,57,10,in_transit_raw,raw,exponential,2.69368,-5.03843,Hyperballistic,75,transit_10_raw_msd.png,ok
TOI-1431,57,10,in_transit_model,model,exponential,2.6873,-4.44473,Hyperballistic,75,transit_10_model_msd.png,ok
TOI-1431,57,10,in_transit_resid,resid,exponential,2.63491,-41808.02717,Hyperballistic,75,transit_10_resid_msd.png,ok
TOI-1431,57,10,post_baseline,post,exponential,2.63437,-164811.48645,Hyperballistic,74,transit_10_post_msd.png,ok
