sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
40,-1928.377461,0.0,0,0,0,0.0
41,-1928.26039,168.58,1,1,1,640.0
54,-1928.377461,0.0,0,0,0,0.0
55,-1928.377461,0.0,0,0,0,0.0
74,-1928.377461,0.0,0,0,0,0.0
75,-1928.377461,0.0,0,0,0,0.0
81,-1928.419055,-59.9,1,1,1,639.0
82,-1928.377461,0.0,0,0,0,0.0
Total,,,2,2,2,159.9
