planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
TOI-1518,58,1,pre_baseline,pre,exponential,2.83508,-13704.75311,Hyperballistic,72,transit_01_pre_msd.png,ok
TOI-1518,58,1,in_transit_raw,raw,exponential,2.12393,-0.35682,Hyperballistic,71,transit_01_raw_msd.png,ok
TOI-1518,58,1,in_transit_model,model,exponential,2.13931,-0.33162,Hyperballistic,71,transit_01_model_msd.png,ok
TOI-1518,58,1,in_transit_resid,resid,exponential,3.0781,-21119.01913,Hyperballistic,71,transit_01_resid_msd.png,ok
TOI-1518,58,1,post_baseline,post,exponential,2.82145,-26377.45795,Hyperballistic,72,transit_01_post_msd.png,ok
TOI-1518,58,2,pre_baseline,pre,exponential,2.80988,-49143.17871,Hyperballistic,72,transit_02_pre_msd.png,ok
TOI-1518,58,2,in_transit_raw,raw,exponential,2.09195,-0.45352,Hyperballistic,72,transit_02_raw_msd.png,ok
TOI-1518,58,2,in_transit_model,model,exponential,2.09015,-0.30781,Hyperballistic,72,transit_02_model_msd.png,ok
TOI-1518,58,2,in_transit_resid,resid,exponential,2.82433,-9829.14361,Hyperballistic,72,transit_02_resid_msd.png,ok
TOI-1518,58,2,post_baseline,post,exponential,2.82699,-17239.18964,Hyperballistic,72,transit_02_post_msd.png,ok
TOI-1518,58,3,pre_baseline,pre,exponential,2.83106,-23842.21542,Hyperballistic,72,transit_03_pre_msd.png,ok
TOI-1518,58,3,in_transit_raw,raw,exponential,2.0311,-0.31247,Hyperballistic,72,transit_03_raw_msd.png,ok
TOI-1518,58,3,in_transit_model,model,exponential,2.09066,-0.3079,Hyperballistic,72,transit_03_model_msd.png,ok
TOI-1518,58,3,in_transit_resid,resid,exponential,2.82669,-17178.46018,Hyperballistic,72,transit_03_resid_msd.png,ok
TOI-1518,58,3,post_baseline,post,exponential,3.07828,-16143.3406,Hyperballistic,71,transit_03_post_msd.png,ok
TOI-1518,58,4,pre_baseline,pre,exponential,3.07522,-4662.75405,Hyperballistic,70,transit_04_pre_msd.png,ok
TOI-1518,58,4,in_transit_raw,raw,exponential,1.98973,-0.26847,Superdiffusive,72,transit_04_raw_msd.png,ok
TOI-1518,58,4,in_transit_model,model,exponential,2.09049,-0.30843,Hyperballistic,72,transit_04_model_msd.png,ok
TOI-1518,58,4,in_transit_resid,resid,exponential,2.82598,-32274.89161,Hyperballistic,72,transit_04_resid_msd.png,ok
TOI-1518,58,4,post_baseline,post,exponential,3.07847,-16581.07586,Hyperballistic,71,transit_04_post_msd.png,ok
TOI-1518,58,5,pre_baseline,pre,exponential,3.0783,-25444.06336,Hyperballistic,71,transit_05_pre_msd.png,ok
TOI-1518,58,5,in_transit_raw,raw,exponential,2.062,-0.38375,Hyperballistic,72,transit_05_raw_msd.png,ok
TOI-1518,58,5,in_transit_model,model,exponential,2.0905,-0.30795,Hyperballistic,72,transit_05_model_msd.png,ok
TOI-1518,58,5,in_transit_resid,resid,exponential,2.80923,-41636.98266,Hyperballistic,72,transit_05_resid_msd.png,ok
TOI-1518,58,5,post_baseline,post,exponential,2.80843,-38077.91574,Hyperballistic,72,transit_05_post_msd.png,ok
TOI-1518,58,6,pre_baseline,pre,exponential,3.07841,-27194.46475,Hyperballistic,71,transit_06_pre_msd.png,ok
TOI-1518,58,6,in_transit_raw,raw,exponential,2.10282,-0.39906,Hyperballistic,72,transit_06_raw_msd.png,ok
TOI-1518,58,6,in_transit_model,model,exponential,2.0907,-0.30893,Hyperballistic,72,transit_06_model_msd.png,ok
TOI-1518,58,6,in_transit_resid,resid,exponential,2.83867,-21107.56045,Hyperballistic,72,transit_06_resid_msd.png,ok
TOI-1518,58,6,post_baseline,post,exponential,2.84152,-12156.67715,Hyperballistic,72,transit_06_post_msd.png,ok
TOI-1518,58,7,pre_baseline,pre,exponential,2.83444,-8506.74397,Hyperballistic,72,transit_07_pre_msd.png,ok
TOI-1518,58,7,in_transit_raw,raw,exponential,2.1068,-0.37688,Hyperballistic,72,transit_07_raw_msd.png,ok
TOI-1518,58,7,in_transit_model,model,exponential,2.09055,-0.30851,Hyperballistic,72,transit_07_model_msd.png,ok
TOI-1518,58,7,in_transit_resid,resid,exponential,2.82652,-17459.35899,Hyperballistic,72,transit_07_resid_msd.png,ok
TOI-1518,58,7,post_baseline,post,exponential,2.81989,-15894.74463,Hyperballistic,72,transit_07_post_msd.png,ok
TOI-1518,58,8,pre_baseline,pre,exponential,2.82936,-18771.142,Hyperballistic,72,transit_08_pre_msd.png,ok
TOI-1518,58,8,in_transit_raw,raw,exponential,2.06392,-0.29407,Hyperballistic,72,transit_08_raw_msd.png,ok
TOI-1518,58,8,in_transit_model,model,exponential,2.09062,-0.30842,Hyperballistic,72,transit_08_model_msd.png,ok
TOI-1518,58,8,in_transit_resid,resid,exponential,2.82899,-13342.79874,Hyperballistic,72,transit_08_resid_msd.png,ok
TOI-1518,58,8,post_baseline,post,exponential,2.83506,-9020.08411,Hyperballistic,72,transit_08_post_msd.png,ok
TOI-1518,58,9,pre_baseline,pre,exponential,2.8377,-11567.04517,Hyperballistic,72,transit_09_pre_msd.png,ok
TOI-1518,58,9,in_transit_raw,raw,exponential,2.02743,-0.26063,Hyperballistic,72,transit_09_raw_msd.png,ok
TOI-1518,58,9,in_transit_model,model,exponential,2.09062,-0.3088,Hyperballistic,72,transit_09_model_msd.png,ok
TOI-1518,58,9,in_transit_resid,resid,exponential,2.83838,-18139.01387,Hyperballistic,72,transit_09_resid_msd.png,ok
TOI-1518,58,9,post_baseline,post,exponential,2.83732,-14050.8998,Hyperballistic,72,transit_09_post_msd.png,ok
TOI-1518,58,10,pre_baseline,pre,exponential,2.83923,-22586.36421,Hyperballistic,72,transit_10_pre_msd.png,ok
TOI-1518,58,10,in_transit_raw,raw,exponential,2.11187,-0.34174,Hyperballistic,72,transit_10_raw_msd.png,ok
TOI-1518,58,10,in_transit_model,model,exponential,2.09058,-0.30806,Hyperballistic,72,transit_10_model_msd.png,ok
TOI-1518,58,10,in_transit_resid,resid,exponential,2.829,-13468.88127,Hyperballistic,72,transit_10_resid_msd.png,ok
TOI-1518,58,10,post_baseline,post,exponential,3.07754,-14885.013,Hyperballistic,71,transit_10_post_msd.png,ok
TOI-1518,58,11,pre_baseline,pre,exponential,3.07842,-11481.20704,Hyperballistic,71,transit_11_pre_msd.png,ok
TOI-1518,58,11,in_transit_raw,raw,exponential,2.01541,-0.25961,Hyperballistic,72,transit_11_raw_msd.png,ok
TOI-1518,58,11,in_transit_model,model,exponential,2.0907,-0.30734,Hyperballistic,72,transit_11_model_msd.png,ok
TOI-1518,58,11,in_transit_resid,resid,exponential,2.82566,-21844.61296,Hyperballistic,72,transit_11_resid_msd.png,ok
TOI-1518,58,11,post_baseline,post,exponential,3.07872,-19563.45014,Hyperballistic,71,transit_11_post_msd.png,ok
TOI-1518,58,12,pre_baseline,pre,exponential,3.07989,-27475.53069,Hyperballistic,71,transit_12_pre_msd.png,ok
TOI-1518,58,12,in_transit_raw,raw,exponential,2.06901,-0.33262,Hyperballistic,72,transit_12_raw_msd.png,ok
TOI-1518,58,12,in_transit_model,model,exponential,2.09036,-0.30811,Hyperballistic,72,transit_12_model_msd.png,ok
TOI-1518,58,12,in_transit_resid,resid,exponential,2.81492,-41972.90678,Hyperballistic,72,transit_12_resid_msd.png,ok
TOI-1518,58,12,post_baseline,post,exponential,2.81853,-23267.0739,Hyperballistic,72,transit_12_post_msd.png,ok
TOI-1518,58,13,pre_baseline,pre,exponential,2.82518,-29853.02358,Hyperballistic,72,transit_13_pre_msd.png,ok
TOI-1518,58,13,in_transit_raw,raw,exponential,2.04128,-0.21946,Hyperballistic,72,transit_13_raw_msd.png,ok
TOI-1518,58,13,in_transit_model,model,exponential,2.09059,-0.30875,Hyperballistic,72,transit_13_model_msd.png,ok
TOI-1518,58,13,in_transit_resid,resid,exponential,2.82325,-23736.95031,Hyperballistic,72,transit_13_resid_msd.png,ok
TOI-1518,58,13,post_baseline,post,exponential,2.82257,-31240.57819,Hyperballistic,72,transit_13_post_msd.png,ok
