sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
40,2089.678065,192.86,4,4,4,108.0
47,2089.56259,26.58,3,3,2,104.0
52,2089.532166,-17.23,3,3,3,108.0
53,2089.533165,-15.79,3,3,3,108.0
58,2089.535449,-12.51,3,2,2,107.5
59,2089.507448,-52.83,3,2,2,108.0
60,2090.18289,919.81,3,2,2,108.0
74,2089.588858,64.4,3,1,1,108.0
78,2089.521212,-33.01,2,2,2,108.0
79,2089.502435,-60.05,3,3,3,108.0
81,2089.546721,3.73,3,2,2,108.0
85,2089.53322,-15.72,3,2,2,107.0
86,2089.583566,56.78,3,2,2,59.0
Total,,,39,31,30,103.8
