sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
25,917.523157,-12.68,9,9,9,81.0
26,917.538824,9.88,9,8,8,81.0
40,917.535717,5.41,10,10,10,83.0
47,917.484673,-68.1,9,9,8,83.0
52,917.569367,53.86,9,8,8,83.0
53,917.567361,50.97,9,8,8,83.0
59,917.571113,56.38,8,8,7,83.0
60,917.568866,53.14,9,7,7,83.0
73,917.589783,83.26,10,8,6,83.0
74,917.543846,17.11,9,5,5,83.0
79,917.652239,173.2,9,9,9,83.0
86,917.599288,96.95,9,6,5,83.0
Total,,,109,95,90,82.7
