sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
14,503.137318,-70.0,8,4,4,105.0
40,503.179644,-9.05,8,8,8,107.0
41,503.173831,-17.42,8,8,8,107.0
54,503.175195,-15.46,8,7,7,107.0
74,503.197882,17.21,8,8,8,107.0
75,503.205823,28.65,8,7,7,107.0
81,503.207043,30.4,8,6,6,107.0
Total,,,56,48,48,106.7
