sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
1,1326.104448,1.5,28,26,26,23.0
2,1326.10321,-0.29,28,26,26,23.0
28,1326.088974,-20.79,22,17,17,24.0
29,1326.021038,-118.61,25,21,20,24.0
68,1326.091294,-17.45,24,19,19,23.0
69,1326.087106,-23.47,24,21,19,24.0
95,1326.089484,-20.05,24,21,21,24.0
96,1326.113287,14.22,24,22,22,23.0
102,1326.117375,20.11,24,22,22,24.0
Total,,,223,195,192,23.6
