sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
9,-597.228036,39.73,30,27,27,48.0
36,-597.263713,-11.65,30,27,26,48.0
62,-597.231169,35.22,31,28,27,48.0
63,-597.232177,33.76,34,33,33,48.0
89,-597.275079,-28.01,36,34,34,48.0
90,-597.258365,-3.95,35,32,32,48.0
99,-597.284007,-40.87,35,25,24,48.0
Total,,,231,206,203,48.0
