sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
6,-356.307559,-28.77,7,7,7,61.0
32,-356.30114,-19.52,7,7,7,62.0
33,-356.273307,20.56,8,7,7,61.0
87,-356.326239,-55.67,7,5,5,61.0
98,-356.27937,11.83,17,11,10,61.0
Total,,,46,37,36,61.2
