sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
7,522.072569,8.37,2,2,2,116.0
34,522.095629,41.58,1,1,1,116.0
45,522.074936,11.78,2,2,2,116.5
46,522.03213,-49.86,1,1,1,116.0
71,522.058065,-12.51,2,2,2,116.0
72,522.084141,25.04,1,1,1,116.0
Total,,,9,9,9,116.1
