sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
40,-1904.089207,-6.24,8,7,6,88.0
41,-1904.098039,-18.96,7,6,6,88.0
54,-1904.111488,-38.33,8,8,8,88.0
55,-1904.138583,-77.34,8,8,8,88.0
74,-1904.102956,-26.04,8,6,6,88.0
75,-1904.040966,63.23,7,6,3,88.0
81,-1904.048618,52.21,8,7,7,88.0
Total,,,54,48,44,88.0
