sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
2,1339.143276,-6.51,9,8,8,50.0
29,1339.163287,22.31,8,6,6,50.0
69,1339.180159,46.6,8,7,7,51.0
96,1339.256443,156.45,7,6,6,50.5
Total,,,32,27,27,50.4
