sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
7,687.068504,-7.35,2,2,2,119.0
44,687.07447,1.24,2,2,2,119.0
45,687.075199,2.29,2,2,2,119.0
46,687.032832,-58.72,3,2,2,119.0
72,687.085839,17.61,2,2,1,118.0
Total,,,11,10,9,118.8
