planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
WASP-019,63,11,in_transit_raw,raw,exponential,1.19591,-1.45686,Superdiffusive,48,transit_11_raw_msd.png,ok
WASP-019,63,11,in_transit_model,model,exponential,0.63816,0.9867,Subdiffusive,48,transit_11_model_msd.png,ok
WASP-019,63,11,in_transit_resid,resid,exponential,2.83819,-23.37484,Hyperballistic,48,transit_11_resid_msd.png,ok
WASP-019,63,11,post_baseline,post,exponential,2.89257,-29.80257,Hyperballistic,48,transit_11_post_msd.png,ok
WASP-019,63,12,pre_baseline,pre,exponential,2.88923,-23.2407,Hyperballistic,48,transit_12_pre_msd.png,ok
WASP-019,63,12,in_transit_raw,raw,exponential,0.97059,0.9665,Near-Brownian,48,transit_12_raw_msd.png,ok
WASP-019,63,12,in_transit_model,model,exponential,1.01497,0.99627,Near-Brownian,48,transit_12_model_msd.png,ok
WASP-019,63,12,in_transit_resid,resid,exponential,2.85489,-24.30121,Hyperballistic,48,transit_12_resid_msd.png,ok
WASP-019,63,12,post_baseline,post,exponential,2.6882,-29.51701,Hyperballistic,48,transit_12_post_msd.png,ok
WASP-019,63,13,pre_baseline,pre,exponential,2.43806,-29.21466,Hyperballistic,48,transit_13_pre_msd.png,ok
WASP-019,63,13,in_transit_raw,raw,exponential,0.07811,0.88142,Subdiffusive,48,transit_13_raw_msd.png,ok
WASP-019,63,13,in_transit_model,model,exponential,0.67645,0.98783,Subdiffusive,48,transit_13_model_msd.png,ok
WASP-019,63,13,in_transit_resid,resid,exponential,2.42699,-38.96105,Hyperballistic,48,transit_13_resid_msd.png,ok
WASP-019,63,13,post_baseline,post,exponential,2.80387,-39.91881,Hyperballistic,48,transit_13_post_msd.png,ok
WASP-019,63,14,pre_baseline,pre,exponential,2.74829,-19.15131,Hyperballistic,48,transit_14_pre_msd.png,ok
WASP-019,63,14,in_transit_raw,raw,exponential,0.19323,0.95537,Subdiffusive,49,transit_14_raw_msd.png,ok
WASP-019,63,14,in_transit_model,model,exponential,0.77513,0.99223,Subdiffusive,49,transit_14_model_msd.png,ok
WASP-019,63,14,in_transit_resid,resid,exponential,2.63637,-26.12711,Hyperballistic,49,transit_14_resid_msd.png,ok
WASP-019,63,14,post_baseline,post,exponential,2.54456,-24.04032,Hyperballistic,48,transit_14_post_msd.png,ok
WASP-019,63,15,pre_baseline,pre,exponential,2.87287,-17.04006,Hyperballistic,48,transit_15_pre_msd.png,ok
WASP-019,63,15,in_transit_raw,raw,exponential,0.69953,0.96444,Subdiffusive,48,transit_15_raw_msd.png,ok
WASP-019,63,15,in_transit_model,model,exponential,0.65626,0.98722,Subdiffusive,48,transit_15_model_msd.png,ok
WASP-019,63,15,in_transit_resid,resid,exponential,2.88642,-19.21949,Hyperballistic,48,transit_15_resid_msd.png,ok
WASP-019,63,15,post_baseline,post,exponential,2.92038,-36.79253,Hyperballistic,48,transit_15_post_msd.png,ok
WASP-019,63,16,pre_baseline,pre,exponential,2.41501,-29.59156,Hyperballistic,49,transit_16_pre_msd.png,ok
WASP-019,63,16,in_transit_raw,raw,exponential,0.91666,0.96437,Subdiffusive,48,transit_16_raw_msd.png,ok
WASP-019,63,16,in_transit_model,model,exponential,0.66135,0.98738,Subdiffusive,48,transit_16_model_msd.png,ok
WASP-019,63,16,in_transit_resid,resid,exponential,2.46364,-28.68153,Hyperballistic,48,transit_16_resid_msd.png,ok
WASP-019,63,16,post_baseline,post,exponential,3.01336,-51.33706,Hyperballistic,48,transit_16_post_msd.png,ok
