sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
41,295.800987,-151.73,8,8,8,123.0
55,295.827102,-114.12,7,4,4,123.0
75,295.791059,-166.03,8,6,6,123.0
81,295.94738,59.08,7,5,5,123.0
82,295.891474,-21.43,7,7,7,123.0
Total,,,37,30,30,123.0
