pl_name,hostname,st_spectype,st_teff,pl_rade,pl_bmasse,pl_orbper,pl_orbpererr1,pl_trandur,pl_trandep,pl_tranmid,pl_tranmiderr1,ra,dec,disc_facility,spoc_sectors,n_spoc_sectors
Kepler-817 b,Kepler-817,,5861.00,9.03000000,60.20000000,3.99010622900,0.00000135800,2.4269000,0.61549000,2455188.84073300,0.00024500,296.0818498,39.1616140,Kepler,"41,54,55,74,75",5
OGLE-TR-111 b,OGLE-TR-111,K2 V,5040.00,11.42197100,174.79900000,4.01444630000,0.00000100000,2.6797000,1.68700000,2454092.80717000,0.00016000,163.3241150,-61.4056976,OGLE,"10,11,63,64,90",5
CoRoT-18 b,CoRoT-18,G9 V,5440.00,14.68000000,1102.82000000,1.90006930000,0.00000280000,2.3870000,2.57170086,2455321.72412000,0.00018000,98.1724172,-0.0316045,CoRoT,"6,33,87",3
WASP-23 b,WASP-23,,5150.00,10.78300000,280.95000000,2.94442560000,0.00000110000,2.3942400,1.69100000,2455320.12363000,0.00012000,101.1275033,-42.7622296,SuperWASP,"6,34,61,87,88",5
OGLE-TR-211 b,OGLE-TR-211,,6325.00,15.24400000,327.35100000,3.67724000000,0.00003000000,4.4112000,0.72300000,2453428.33400000,0.00300000,160.0598236,-62.4555353,OGLE,"10,11,63,64,90",5
CoRoT-11 b,CoRoT-11,F6 V,6440.00,16.03000000,740.51000000,2.99433000000,0.00001100000,2.5009000,1.14490000,2454597.67900000,0.00030000,280.6872998,5.9376586,CoRoT,80,1
CoRoT-13 b,CoRoT-13,G0 V,5945.00,9.92000000,415.70400000,4.03519000000,0.00003000000,3.1400000,1.18504723,2454790.80910000,0.00060000,102.7211432,-5.0864557,CoRoT,"6,33,87",3
OGLE-TR-10 b,OGLE-TR-10,G2 V,5950.00,14.01100000,197.04600000,3.10127800000,,3.0720000,1.21000000,2454262.81822800,0.00030000,267.8677483,-29.8764758,OGLE,"39,91,92",3
HD 189733 b,HD 189733,K2 V,5052.00,12.66617000,359.14790000,2.21857567000,0.00000015000,1.8233621,2.40000000,2453955.52555110,0.00000880,300.1821223,22.7097759,Haute-Provence Observatory,"41,54,81",3
HAT-P-37 b,HAT-P-37,,5500.00,13.20400000,371.52800000,2.79743600000,0.00000700000,2.3304000,1.89900000,2455642.14318000,0.00029000,284.2960393,51.2691212,HATNet,"26,40,41,53,54,55,59,74,75,80,82",11
WASP-67 b,WASP-67,,5200.00,12.89035000,136.66690000,4.61442000000,0.00001000000,1.8960000,1.80000000,2456618.05370000,0.00008000,295.7438485,-19.9497314,SuperWASP,92,1
WASP-31 b,WASP-31,,6302.00,17.36300000,151.91600000,3.40590960000,0.00000500000,2.6472000,1.61500000,2455192.68870000,0.00030000,169.4388603,-19.0547781,SuperWASP,"9,36,63,90,100",5
KOI-217 b,KOI-217,,5545.00,12.44200000,,3.90512000000,0.00005000000,2.8551600,1.75600000,2454966.41400000,0.00020000,294.8654667,46.2858128,Kepler,"40,41,54,74,75,81,82",7
HAT-P-22 b,HAT-P-22,G5 V,5302.00,12.89035000,785.04010000,3.21222000000,0.00000900000,2.6530000,1.10000000,2458261.30598000,0.00006900,155.6814593,50.1287115,HATNet,"21,48,75",3
HAT-P-18 b,HAT-P-18,K2,4803.00,11.15300000,62.61000000,5.50802300000,0.00000600000,2.7144000,2.15847573,2454715.02174000,0.00020000,256.3463760,33.0123251,HATNet,"25,26,79",3
WASP-14 b,WASP-14,,6475.00,15.46842000,2809.61720000,2.24375000000,0.00001000000,2.5740000,1.00000000,2455643.79792000,0.00011000,218.2766247,21.8946875,SuperWASP,50,1
HAT-P-2 b,HAT-P-2,F8,6380.00,10.65975900,2866.81223114,5.63351580000,0.00000360000,4.2888000,0.56510000,2458657.66292000,0.00011000,245.1514324,41.0479601,HATNet,"24,25,51,52,78,79",6
HAT-P-42 b,HAT-P-42,,5743.00,14.34800000,331.80100000,4.64187800000,0.00003200000,4.0344000,0.75254475,2455952.52603000,0.00075000,135.3443583,6.0970828,HATNet,"8,34,44,45,46,61,72,88",8
HAT-P-39 b,HAT-P-39,,6430.00,17.60900000,190.37200000,3.54387000000,0.00000500000,4.1880000,0.99900000,2455208.75049000,0.00041000,113.7582526,17.8300283,HATNet,"44,45,46,71,72",5
WTS-2 b,WTS-2,K2 V,5000.00,15.27786700,355.96960000,1.01870680000,0.00000065000,1.4947875,9.15586353,2454317.81333000,0.00065000,293.7327826,36.8154936,United Kingdom Infrared Telescope,"40,41,54,55,74,75,81,82",8
HAT-P-13 b,HAT-P-13,G4,5653.00,14.25800000,270.46200000,2.91625000000,0.00001500000,3.2868100,0.72577025,2454779.92976000,0.00075000,129.8823772,47.3519076,HATNet,47,1
Kepler-77 b,Kepler-77,G5 V,5520.00,10.76100000,136.66100000,3.57878087000,0.00000023000,2.9337600,0.98490000,2455095.86572700,0.00002900,289.6079433,44.3454347,Kepler,"40,41,54,55,74,75,81",7
HATS-5 b,HATS-5,G,5304.00,10.22300000,75.32300000,4.76338700000,0.00001000000,2.9856000,1.31606298,2456273.79068000,0.00010000,67.2228465,-21.4820568,HATSouth,"5,32,98",3
WTS-1 b,WTS-1,F6 V,6250.00,16.70000000,1274.44000000,3.35205700000,0.00001300000,,1.76360000,2454318.74720000,0.00430000,293.9850284,36.2962939,United Kingdom Infrared Telescope,"40,41,54,55,74,75",6
HAT-P-45 b,HAT-P-45,,6330.00,15.98400000,283.49200000,3.12899200000,0.00002100000,3.4464000,1.34262063,2455729.98612000,0.00041000,274.3732697,-3.3810594,HATNet,80,1
HAT-P-27 b,HAT-P-27,G8,5316.00,11.43000000,197.05000000,3.03957700000,0.00000500000,1.6800000,1.43000000,2455407.90880000,0.00020000,222.7673221,5.9473626,HATNet,51,1
Kepler-422 b,Kepler-422,,5972.00,12.89000000,136.66000000,7.89144830000,0.00000050000,4.2854000,1.06126000,2455010.25005000,0.00011000,282.6296334,46.3232807,Kepler,"40,41,53,54,55,74,75,80,81,82",10
Kepler-426 b,Kepler-426,G1 V,5725.00,12.22000000,108.06000000,3.21751883000,0.00000019000,2.1910000,1.43194000,2454966.63196400,0.00004700,289.4346668,49.4734550,Kepler,"40,41,53,54,55,74,75,80,81,82",10
Kepler-428 b,Kepler-428,K1 V,5150.00,12.11000000,403.63000000,3.52563254000,0.00000015000,2.6140000,2.23350000,2455003.04800800,0.00003200,290.5817432,40.5773106,Kepler,"40,41,54,55,74,75,82",7
Kepler-425 b,Kepler-425,K1 V,5170.00,10.96200000,79.45000000,3.79701816000,0.00000019000,2.3530000,1.44312000,2454966.50878500,0.00003900,290.3579781,40.5676965,Kepler,"40,41,54,55,74,75,80,82",8
WASP-70 A b,WASP-70 A,G4,5763.00,13.04700000,187.51200000,3.71302030000,0.00000470000,3.3336000,0.97000000,2455736.50348000,0.00027000,315.4771912,-13.4333821,SuperWASP,92,1
Kepler-17 b,Kepler-17,G2 V,5781.00,14.68000000,778.65000000,1.48571080000,0.00000020000,2.2764000,2.18019000,2455185.67803500,0.00002300,298.3952437,47.8149865,Kepler,"41,54,56,74,75,76,81,82,83",9
