pl_name,hostname,st_spectype,st_teff,pl_rade,pl_bmasse,pl_orbper,pl_orbpererr1,pl_trandur,pl_trandep,pl_tranmid,pl_tranmiderr1,ra,dec,disc_facility
"Kepler-668 b","Kepler-668",,5352.00,2.70000000,7.75000000,8.35390639000,0.00001695000,2.2712000,0.10416000,2455004.63264000,0.00156000,285.4992845,49.2772713,"Kepler"
"TOI-6393 b","TOI-6393",,5008.20,2.75958542,8.04000000,9.53176110329,0.00009775099,3.1045696,0.10950000,2458702.88097223,0.00705464,141.2436918,68.7883127,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2071 b","TOI-2071",,5755.41,2.56484195,7.10000000,5.67395386982,0.00002290491,2.8641894,0.06412779,2459784.44248281,0.00207397,256.6011813,57.6610327,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2227 b","TOI-2227",,5889.54,3.09885187,9.79000000,4.22175815648,0.00002304409,2.7429639,0.05940000,2459050.44371553,0.00161014,337.5177563,-67.8501459,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-4513 b","TOI-4513",,5623.93,2.34587608,6.11000000,9.76042253684,0.00109793125,2.2316268,0.07900000,2459468.70118266,0.00207284,18.0905179,13.7550796,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-989 b","Kepler-989",,5074.00,2.21000000,5.52000000,7.96431535200,0.00000961700,1.4980000,0.07460000,2454969.81672000,0.00102000,281.5827983,47.2334674,"Kepler"
"Kepler-956 b","Kepler-956",,6040.00,3.00000000,9.27000000,5.24867263100,0.00000312100,1.8418000,0.06212000,2454968.51625300,0.00052500,292.5308289,49.0616555,"Kepler"
"EPIC 212297394 c","EPIC 212297394",,5171.00,2.27000000,5.77000000,5.21396500000,0.00044200000,2.6200000,0.08280000,2457222.47887900,0.00364800,207.2061241,-17.6098985,"K2"
"K2-386 b","K2-386",,5749.00,2.32000000,5.99000000,7.47322300000,0.00037400000,3.5568000,0.06610000,2457395.90560000,0.00240000,18.2999964,7.0130302,"K2"
"TOI-3896 b","TOI-3896",,5110.91,3.14949237,10.10000000,4.37730369667,0.00001540543,2.3689451,0.14300000,2458903.31049730,0.00157840,187.9302395,63.9085462,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1269 b","TOI-1269",,5499.00,2.40144286,6.40000000,4.25299130000,0.00000680000,2.6216334,0.07585850,2458686.60586000,0.00092000,249.6966397,64.5591810,"Transiting Exoplanet Survey Satellite (TESS)"
"HIP 94235 b","HIP 94235","G V",5991.00,3.00000000,379.00000000,7.71305700000,0.00002100000,2.4700000,0.07284849,2459037.87040000,0.00110000,287.7411441,-60.2726358,"Transiting Exoplanet Survey Satellite (TESS)"
