sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
2,1358.105054,-29.76,6,6,5,59.0
29,1358.145315,28.22,5,4,4,59.5
69,1358.153962,40.67,5,4,4,59.5
96,1358.164344,55.62,6,5,4,60.0
Total,,,22,19,17,59.5
