planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
HIP_00065,28,9,post_baseline,post,exponential,2.45011,-253.49187,Hyperballistic,23,transit_09_post_msd.png,ok
HIP_00065,28,10,pre_baseline,pre,exponential,2.4939,-188.35263,Hyperballistic,24,transit_10_pre_msd.png,ok
HIP_00065,28,10,in_transit_raw,raw,exponential,2.19744,-0.99981,Hyperballistic,23,transit_10_raw_msd.png,ok
HIP_00065,28,10,in_transit_model,model,exponential,2.21689,-0.67532,Hyperballistic,23,transit_10_model_msd.png,ok
HIP_00065,28,10,in_transit_resid,resid,exponential,2.44475,-186.38676,Hyperballistic,23,transit_10_resid_msd.png,ok
HIP_00065,28,10,post_baseline,post,exponential,2.50069,-252.77411,Hyperballistic,24,transit_10_post_msd.png,ok
HIP_00065,28,11,pre_baseline,pre,exponential,2.49702,-215.88001,Hyperballistic,24,transit_11_pre_msd.png,ok
HIP_00065,28,11,in_transit_raw,raw,exponential,2.09118,-0.69996,Hyperballistic,23,transit_11_raw_msd.png,ok
HIP_00065,28,11,in_transit_model,model,exponential,2.21724,-0.67691,Hyperballistic,23,transit_11_model_msd.png,ok
HIP_00065,28,11,in_transit_resid,resid,exponential,2.4306,-156.59909,Hyperballistic,23,transit_11_resid_msd.png,ok
HIP_00065,28,11,post_baseline,post,exponential,2.49204,-264.83085,Hyperballistic,24,transit_11_post_msd.png,ok
HIP_00065,28,12,pre_baseline,pre,exponential,2.50714,-349.72669,Hyperballistic,24,transit_12_pre_msd.png,ok
HIP_00065,28,12,in_transit_raw,raw,exponential,2.10908,-0.712,Hyperballistic,23,transit_12_raw_msd.png,ok
HIP_00065,28,12,in_transit_model,model,exponential,2.21613,-0.67231,Hyperballistic,23,transit_12_model_msd.png,ok
HIP_00065,28,12,in_transit_resid,resid,exponential,2.43002,-221.7498,Hyperballistic,23,transit_12_resid_msd.png,ok
HIP_00065,28,12,post_baseline,post,exponential,2.50478,-363.49748,Hyperballistic,24,transit_12_post_msd.png,ok
HIP_00065,28,13,pre_baseline,pre,exponential,2.43491,-135.11486,Hyperballistic,23,transit_13_pre_msd.png,ok
HIP_00065,28,13,in_transit_raw,raw,exponential,2.20282,-1.55743,Hyperballistic,24,transit_13_raw_msd.png,ok
HIP_00065,28,13,in_transit_model,model,exponential,2.25338,-0.82387,Hyperballistic,24,transit_13_model_msd.png,ok
HIP_00065,28,13,in_transit_resid,resid,exponential,2.48577,-71.00962,Hyperballistic,24,transit_13_resid_msd.png,ok
HIP_00065,28,13,post_baseline,post,exponential,2.49668,-214.09257,Hyperballistic,24,transit_13_post_msd.png,ok
HIP_00065,28,14,pre_baseline,pre,exponential,2.5015,-424.85876,Hyperballistic,24,transit_14_pre_msd.png,ok
