sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
42,63.806522,-17.5,6,5,5,70.0
43,63.813227,-7.84,5,4,4,69.0
44,63.823282,6.64,6,5,5,70.0
70,63.856237,54.09,6,5,5,69.0
71,63.810647,-11.56,6,6,4,69.5
Total,,,29,25,23,69.5
