sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
14,1686.711547,24.86,7,6,6,74.0
17,1686.696489,3.18,6,5,4,74.0
18,1686.699323,7.26,7,6,6,74.0
19,1686.692066,-3.19,7,7,7,74.0
20,1686.698526,6.11,8,8,8,74.0
21,1686.703798,13.7,8,7,7,74.0
24,1686.686453,-11.28,7,6,6,72.5
25,1686.691901,-3.43,7,6,6,73.0
26,1686.697327,4.38,7,7,7,72.0
40,1686.700104,8.38,8,8,7,74.0
41,1686.692955,-1.91,8,8,8,74.0
47,1686.695965,2.42,7,6,6,74.0
48,1686.687508,-9.76,7,5,5,74.0
50,1686.702047,11.18,7,5,5,74.0
51,1686.694436,0.22,7,7,7,74.0
52,1686.690015,-6.15,7,7,7,74.0
53,1686.698387,5.91,8,8,7,74.0
54,1686.689256,-7.24,7,7,6,74.0
55,1686.698287,5.77,8,7,7,74.0
58,1686.699955,8.17,8,8,7,74.0
59,1686.691491,-4.02,7,6,6,74.0
60,1686.694924,0.92,6,5,5,74.0
73,1686.696486,3.17,8,5,5,74.0
74,1686.692216,-2.98,8,4,4,74.0
75,1686.685171,-13.12,8,8,8,74.0
77,1686.694153,-0.19,8,5,5,74.0
78,1686.689213,-7.3,5,5,5,74.0
79,1686.688896,-7.76,8,7,7,74.0
80,1686.689345,-7.11,8,6,6,74.0
81,1686.684873,-13.55,7,4,4,74.0
85,1686.69402,-0.38,7,7,5,74.0
86,1686.688945,-7.69,8,5,5,74.0
Total,,,234,201,194,73.9
