time_min_from_mid,flux
-406.9029255607165,0.9983641758234996
-404.9029255607456,1.000440937786746
-402.9029255607748,0.997736475848796
-400.9029255608039,1.000188440530136
-398.90292556083295,0.9997454514362832
-396.90292556086206,1.0002445717518786
-394.9029255608912,0.9991846986662496
-392.90292556092027,1.001758995844145
-390.90292556094937,1.0023735488051182
-388.9029255609785,0.9979061748912738
-386.9029255610076,1.0008985657540432
-384.9029255610367,1.00151414436857
-382.9029255610658,0.999918693645582
-380.9029255610949,1.0007124562547105
-378.902925561124,1.000712829219639
-376.9029255611531,1.0001008870131654
-374.9029255611822,1.000670684182716
-372.9029255612113,0.9992972408334312
-370.9029255612404,1.0012596890460854
-368.9029255612695,0.997434653980389
-366.9029255612986,0.9979778773987822
-364.9029255613277,0.9998261983433084
-362.9029255613568,1.0014960555695365
-360.9029255613859,1.0001911445258678
-358.90292556141503,1.000176878617352
-356.90292556144414,0.99874842294111
-354.90292556147324,0.9994207854660044
-352.90292556150234,0.9989068397945
-350.90292556153145,1.0015036081093391
-348.9029255615605,0.999560460831736
-346.90292556158965,1.0016123273860036
-344.9029255616188,0.9986287944402864
-342.90292556164786,0.9988103351192448
-340.90292556167697,0.999780976345725
-338.90292556170607,0.9984348526774546
-336.9029255617352,0.999212111588496
-334.9029255617643,0.9988509882964538
-332.9029255617934,0.9991854445961064
-330.9029255618225,1.0003940374469842
-328.9029255618516,0.9987288422823626
-326.9029255618807,1.001431532636902
-324.9029255619098,0.998160350490062
-322.9029255619389,1.000876281099564
-320.902925561968,0.99957332812177
-318.9029255619971,1.0002463433352893
-316.9029255620262,1.0012990368460444
-314.9029255620553,1.0002660172352689
-312.9029255620844,0.999657431713152
-310.9029255621135,1.0025522922471128
-308.9029255621426,0.99882982253676
-306.90292556217173,1.0005429436946969
-304.90292556220083,1.0002848519641592
-302.90292556222994,1.0010149308117424
-300.90292556225904,0.9990070741190406
-298.90292556228815,0.9992638604723284
-296.90292556231725,0.9992477297391698
-294.90292556234635,0.9996594830202588
-292.90292556237546,0.999155793884289
-290.90292556240456,1.0019063169909117
-288.90292556243367,1.00251891188601
-286.9029255624628,1.0017514433043424
-284.9029255624919,0.99927793989838
-282.902925562521,1.0006133408249556
-280.9029255625501,0.996494968842976
-278.9029255625792,1.0003393048437237
-276.9029255626083,1.0016681788840498
-274.9029255626374,0.999733796282267
-272.9029255626665,1.0014596914890057
-270.9029255626956,1.000548724651089
-268.9029255627247,1.0000938939207555
-266.9029255627538,0.9991718313762156
-264.9029255627829,0.9998069906494896
-262.902925562812,1.001116750237229
-260.9029255628411,0.9990068876365764
-258.9029255628702,1.0027145319910202
-256.9029255628993,0.999357101704459
-254.90292556292843,0.9999097424872976
-252.90292556295756,1.002129350018168
-250.90292556298664,0.99891821522482
-248.9029255630157,1.000683644713982
-246.90292556304485,0.9991352808132202
-244.90292556307395,1.0017879006261057
-242.90292556310305,1.000052028607529
-240.90292556313216,1.000717118316317
-238.9029255631613,1.000485227372008
-236.9029255631904,0.999036631589626
-234.90292556321947,1.0017334477465412
-232.90292556324857,0.9968015460142216
-230.90292556327768,0.9993129053604292
-228.9029255633068,1.0008084014825729
-226.90292556333588,1.000087739999435
-224.902925563365,1.000524481930735
-222.9029255633941,1.0006949269030698
-220.9029255634232,0.9979046830315595
-218.9029255634523,1.0009316663914496
-216.9029255634814,1.002903531968549
-214.9029255635105,0.9997104859742344
-212.9029255635396,0.9986960213686528
-210.90292556356872,0.9989236232162836
-208.90292556359785,0.99944903755934
-206.90292556362687,0.999445587633751
-204.90292556365603,1.000390214556467
-202.90292556368516,0.9983783484907834
-200.90292556371423,1.0004345041417289
-198.9029255637433,0.999027400707645
-196.90292556377244,0.9999390202341866
-194.90292556380157,0.9994543523095714
-192.90292556383065,1.0008461641815858
-190.90292556385972,0.9989192408783736
-188.90292556388889,0.9997382718614092
-186.902925563918,0.9990191022379854
-184.90292556394704,1.0002474622300748
-182.90292556397617,1.002275645511381
-180.90292556400527,1.000172030073281
-178.90292556403438,0.9996397158790472
-176.90292556406348,0.9990786833853168
-174.90292556409258,0.9990583567967124
-172.9029255641217,1.0012821601830288
-170.9029255641508,1.0004361824839072
-168.9029255641799,1.0031705748573712
-166.902925564209,0.9976012760622064
-164.9029255642381,1.00142705705776
-162.9029255642672,1.000041305865834
-160.9029255642963,1.0008192174655
-158.9029255643254,1.000128393176644
-156.90292556435452,1.000931013702825
-154.90292556438362,0.999400645359864
-152.90292556441273,1.000669378805466
-150.90292556444183,0.9993936522674542
-148.90292556447093,1.0013748419677666
-146.90292556450004,0.9997669901609054
-144.90292556452914,1.0006930620784271
-142.90292556455825,0.9983992345267808
-140.90292556458735,0.9994168693342548
-138.90292556461645,1.0000515624013682
-136.90292556464556,1.0015403451547986
-134.90292556467466,1.0006654626737166
-132.90292556470376,0.9987703346306608
-130.90292556473287,0.9999383675455616
-128.90292556476197,0.9967731074384218
-126.90292556479108,1.0004435485412455
-124.90292556482018,1.000009976811838
-122.90292556484928,1.0004596792744045
-120.9029255648784,1.000549936787107
-118.90292556490748,0.999870114963642
-116.9029255649366,1.002563201471272
-114.9029255649657,1.0021259000925793
-112.9029255649948,0.9981969010530573
-110.9029255650239,0.999078776626549
-108.902925565053,0.9969609885211652
-106.90292556508211,0.999459200853642
-104.90292556511122,0.9988484707831864
-102.90292556514032,0.9981037530621586
-100.90292556516944,0.9979488793755896
-98.90292556519852,0.9993056325443228
-96.90292556522763,0.9971390792745348
-94.90292556525674,0.9979740545082648
-92.90292556528584,0.9975645390167468
-90.90292556531494,0.9981534506388844
-88.90292556534405,0.9968357655464136
-86.90292556537315,0.9981619355910082
-84.90292556540226,0.995893376413269
-82.90292556543136,0.9961218174319892
-80.90292556546046,0.9957808342460872
-78.90292556548957,0.9974647708983672
-76.90292556551867,0.9974647708983672
-74.90292556554778,0.9971040205712536
-72.90292556557688,0.9975451448404636
-70.90292556560598,0.9975451448404636
-68.90292556563509,0.9975451448404636
-66.90292556566419,0.9959408362004236
-64.9029255656933,0.9959408362004236
-62.9029255657224,0.9959408362004236
-60.9029255657515,0.9959009289530716
-58.902925565780606,0.9959009289530716
-56.90292556580971,0.9959009289530716
-54.902925565838814,0.9959009289530716
-52.90292556586792,0.9963910048691504
-50.90292556589702,0.9963910048691504
-48.902925565926125,0.9963910048691504
-46.90292556595523,0.9957519294641268
-44.90292556598433,0.9957519294641268
-42.90292556601344,0.9970109658215872
-40.90292556604254,0.9970109658215872
-38.90292556607165,0.9970109658215872
-36.90292556610075,0.9970109658215872
-34.90292556612985,0.9970109658215872
-32.90292556615896,0.9968423856738948
