planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
TOI-2152,59,1,pre_baseline,pre,exponential,1.65869,-196.18556,Superdiffusive,112,transit_01_pre_msd.png,ok
TOI-2152,59,1,in_transit_raw,raw,exponential,2.24222,-10.64262,Hyperballistic,111,transit_01_raw_msd.png,ok
TOI-2152,59,1,in_transit_model,model,exponential,2.42411,-8.42767,Hyperballistic,111,transit_01_model_msd.png,ok
TOI-2152,59,1,in_transit_resid,resid,exponential,2.61361,-756.65732,Hyperballistic,111,transit_01_resid_msd.png,ok
TOI-2152,59,1,post_baseline,post,exponential,1.64099,-250.80965,Superdiffusive,112,transit_01_post_msd.png,ok
TOI-2152,59,2,pre_baseline,pre,exponential,1.67525,-392.64449,Superdiffusive,112,transit_02_pre_msd.png,ok
TOI-2152,59,2,in_transit_raw,raw,exponential,2.3394,-35.28229,Hyperballistic,111,transit_02_raw_msd.png,ok
TOI-2152,59,2,in_transit_model,model,exponential,2.42415,-8.4309,Hyperballistic,111,transit_02_model_msd.png,ok
TOI-2152,59,2,in_transit_resid,resid,exponential,2.60156,-670.61349,Hyperballistic,111,transit_02_resid_msd.png,ok
TOI-2152,59,2,post_baseline,post,exponential,1.6694,-408.86029,Superdiffusive,112,transit_02_post_msd.png,ok
TOI-2152,59,3,pre_baseline,pre,exponential,1.68805,-253.69896,Superdiffusive,112,transit_03_pre_msd.png,ok
TOI-2152,59,3,in_transit_raw,raw,exponential,2.29368,-29.3759,Hyperballistic,111,transit_03_raw_msd.png,ok
TOI-2152,59,3,in_transit_model,model,exponential,2.42456,-8.44779,Hyperballistic,111,transit_03_model_msd.png,ok
TOI-2152,59,3,in_transit_resid,resid,exponential,2.55301,-417.32664,Hyperballistic,111,transit_03_resid_msd.png,ok
TOI-2152,59,3,post_baseline,post,exponential,2.61941,-727.36962,Hyperballistic,111,transit_03_post_msd.png,ok
TOI-2152,59,4,pre_baseline,pre,exponential,2.5831,-356.98423,Hyperballistic,111,transit_04_pre_msd.png,ok
TOI-2152,59,4,in_transit_raw,raw,exponential,2.34853,-49.28554,Hyperballistic,112,transit_04_raw_msd.png,ok
TOI-2152,59,4,in_transit_model,model,exponential,2.39142,-7.29688,Hyperballistic,112,transit_04_model_msd.png,ok
TOI-2152,59,4,in_transit_resid,resid,exponential,1.62445,-193.21491,Superdiffusive,112,transit_04_resid_msd.png,ok
TOI-2152,59,4,post_baseline,post,exponential,2.58413,-669.95,Hyperballistic,111,transit_04_post_msd.png,ok
TOI-2152,59,5,pre_baseline,pre,exponential,2.57266,-328.53233,Hyperballistic,109,transit_05_pre_msd.png,ok
TOI-2152,59,5,in_transit_raw,raw,exponential,2.24059,-17.72191,Hyperballistic,111,transit_05_raw_msd.png,ok
TOI-2152,59,5,in_transit_model,model,exponential,2.42417,-8.42935,Hyperballistic,111,transit_05_model_msd.png,ok
TOI-2152,59,5,in_transit_resid,resid,exponential,2.53783,-408.00768,Hyperballistic,111,transit_05_resid_msd.png,ok
TOI-2152,59,5,post_baseline,post,exponential,2.62078,-894.18998,Hyperballistic,111,transit_05_post_msd.png,ok
TOI-2152,59,6,pre_baseline,pre,exponential,2.59705,-547.74424,Hyperballistic,111,transit_06_pre_msd.png,ok
TOI-2152,59,6,in_transit_raw,raw,exponential,2.28412,-14.59408,Hyperballistic,112,transit_06_raw_msd.png,ok
TOI-2152,59,6,in_transit_model,model,exponential,2.3915,-7.29968,Hyperballistic,112,transit_06_model_msd.png,ok
TOI-2152,59,6,in_transit_resid,resid,exponential,1.63166,-328.46162,Superdiffusive,112,transit_06_resid_msd.png,ok
TOI-2152,59,6,post_baseline,post,exponential,2.59467,-769.89781,Hyperballistic,111,transit_06_post_msd.png,ok
